#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2014-04-03T13:10:04 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ533d5b416595	
#INFO	-out.max=unlimited	
#INFO	queryParameters=41	
#-oc.form=dec
#-out.max=unlimited
#-out.all=1
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-nav=cat:VII/196&tab:{VII/196/north}&tab:{VII/196/south}&key:source=VII/196/north&key:source=VII/196/south&HTTPPRM:&&-ref=VIZ533d5b416595&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-file=.&-meta=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-x.rs=10
#-source=VII/196/north,VII/196/south
#-order=I
#-out=recno
#-out=Shk
#-sort=Shk
#-out=m_Shk
#-out=Object
#-out=RAJ2000
#-out=DEJ2000
#-out=n_DEs
#-out=Star
#-out=Vmag
#-out=Rmag
#-out=RV
#-out.all=1
#-out=z
#-out=Note
#-out=Object
#-out=m_Object
#-out=RA2000
#-out=DE2000
#-out=a
#-out=e
#-out=PA
#-out=bjg
#-out=bjs
#-out=Area
#-out=Class
#-out=Notes
#-out.all=1
#
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_7196
#Name: VII/196
#Title: Shakhbazian compact groups of galaxies (Stoll+ 1993-97)
#Table	VII_196_north:
#Name: VII/196/north
#Title: Northern part (from POSS)
#Column	_RAJ2000	(F8.4)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F8.4)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	recno	(I8)	Record number within the original table (starting from 1)	[ucd=meta.record]
#Column	Shk	(I3)	Group name (Shakhbazian+, Cat. <VII/89>) (1)	[ucd=meta.id.part;meta.main]
#Column	m_Shk	(A1)	[a] Group 340 divided in 2 parts	[ucd=meta.code.multip]
#Column	Object	(I2)	Object number within group	[ucd=meta.id.part;meta.main]
#Column	RAJ2000	(A10)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	n_DEs	(A1)	[?H] Origin of positions (2)	[ucd=meta.note]
#Column	Star	(A1)	[S] S: object probably a star	[ucd=src.class]
#Column	Vmag	(F5.2)	? V magnitude	[ucd=phot.mag;em.opt.V]
#Column	Rmag	(F5.2)	? R magnitude	[ucd=phot.mag;em.opt.R]
#Column	RV	(I5)	? Radial velocity [NULL integer written as an empty string]	[ucd=phys.veloc;pos.heliocentric]
#Column	z	(F7.4)	? Redshift (3)	[ucd=src.redshift]
#Column	Note	(a56)	Other name or remark	[ucd=meta.id]
#_RAJ2000|_DEJ2000|recno|Shk|m_Shk|Object|RAJ2000|DEJ2000|n_DEs|Star|Vmag|Rmag|RV|z|Note
#deg|deg| | | | |"h:m:s"|"d:m:s"| | |mag|mag|km/s| |
#--------|--------|--------|---|-|--|----------|---------|-|-|-----|-----|-----|-------|--------------------------------------------------------
218.4258|+26.6956|    1924|218| | 4|14 33 42.2|+26 41 44| | |     |     |     |       |
218.4237|+26.7031|    1925|218| | 5|14 33 41.7|+26 42 11| | |     |     |     |       |
218.4025|+26.6925|    1926|218| | 6|14 33 36.6|+26 41 33| | |     |     |     |       |
218.4154|+26.6731|    1927|218| | 7|14 33 39.7|+26 40 23| | |     |     |     |       |
218.4237|+26.6867|    1928|218| | 8|14 33 41.7|+26 41 12| | |     |     |     |       |
218.4217|+26.6847|    1929|218| | 9|14 33 41.2|+26 41 05| | |     |     |     |       |
218.4071|+26.6575|    1930|218| |10|14 33 37.7|+26 39 27| | |     |     |     |       |
218.4025|+26.6661|    1931|218| |11|14 33 36.6|+26 39 58| | |     |     |     |       |
218.4004|+26.6681|    1932|218| |12|14 33 36.1|+26 40 05| | |     |     |     |       |
218.4083|+26.6664|    1933|218| |13|14 33 38.0|+26 39 59| | |     |     |     |       |
218.4229|+26.6883|    1934|218| |14|14 33 41.5|+26 41 18| | |     |     |     |       |
218.4217|+26.6994|    1935|218| |15|14 33 41.2|+26 41 58| | |     |     |     |       |
223.1392|+27.9642|    1936|219| | 1|14 52 33.4|+27 57 51| | |     |     |     |       |= 145023.80+28100
223.1392|+27.9675|    1937|219| | 2|14 52 33.4|+27 58 03| | |     |     |     |       |= 145023.80+28101
223.1304|+27.9789|    1938|219| | 3|14 52 31.3|+27 58 44| | |     |     |     |       |
223.1317|+27.9575|    1939|219| | 4|14 52 31.6|+27 57 27| | |     |     |     |       |
223.1642|+27.9900|    1940|219| | 5|14 52 39.4|+27 59 24| | |     |     |     |       |
223.1625|+27.9811|    1941|219| | 6|14 52 39.0|+27 58 52| | |     |     |     |       |
223.1604|+27.9839|    1942|219| | 7|14 52 38.5|+27 59 02| | |     |     |     |       |
223.1675|+27.9800|    1943|219| | 8|14 52 40.2|+27 58 48| | |     |     |     |       |
223.1471|+27.9825|    1944|219| | 9|14 52 35.3|+27 58 57| | |     |     |     |       |
223.1492|+27.9692|    1945|219| |10|14 52 35.8|+27 58 09| | |     |     |     |       |
223.1521|+27.9717|    1946|219| |11|14 52 36.5|+27 58 18| | |     |     |     |       |
223.1525|+27.9736|    1947|219| |12|14 52 36.6|+27 58 25| | |     |     |     |       |
223.1583|+27.9819|    1948|219| |13|14 52 38.0|+27 58 55| | |     |     |     |       |
224.8575|+29.7075|    1949|220| | 1|14 59 25.8|+29 42 27| | |     |     |     |       |
224.8500|+29.7150|    1950|220| | 2|14 59 24.0|+29 42 54| | |     |     |     |       |
224.8858|+29.7036|    1951|220| | 3|14 59 32.6|+29 42 13| | |     |     |     |       |
224.8804|+29.7039|    1952|220| | 4|14 59 31.3|+29 42 14| | |     |     |     |       |
224.8846|+29.7019|    1953|220| | 5|14 59 32.3|+29 42 07| | |     |     |     |       |
224.8937|+29.6994|    1954|220| | 6|14 59 34.5|+29 41 58| | |     |     |     |       |
224.8629|+29.7131|    1955|220| | 7|14 59 27.1|+29 42 47| | |     |     |     |       |
234.2083|+30.6889|    1956|221| | 1|15 36 50.0|+30 41 20| | |     |     |     |       |
234.2183|+30.6903|    1957|221| | 2|15 36 52.4|+30 41 25| | |     |     |     |       |
234.2329|+30.6989|    1958|221| | 3|15 36 55.9|+30 41 56| | |     |     |     |       |
234.2342|+30.6947|    1959|221| | 4|15 36 56.2|+30 41 41| | |     |     |     |       |
234.2408|+30.6906|    1960|221| | 5|15 36 57.8|+30 41 26| | |     |     |     |       |
234.2383|+30.6933|    1961|221| | 6|15 36 57.2|+30 41 36| | |     |     |     |       |
235.9200|+31.5533|    1962|222| | 1|15 43 40.8|+31 33 12| | |     |     |     |       |
235.9100|+31.5542|    1963|222| | 2|15 43 38.4|+31 33 15| | |     |     |     |       |
235.8946|+31.5633|    1964|222| | 3|15 43 34.7|+31 33 48| | |     |     |     |       |
235.9000|+31.5561|    1965|222| | 4|15 43 36.0|+31 33 22| | |     |     |     |       |
235.9033|+31.5522|    1966|222| | 5|15 43 36.8|+31 33 08| | |     |     |     |       |
235.9121|+31.5614|    1967|222| | 6|15 43 38.9|+31 33 41| | |     |     |     |       |
235.9221|+31.5617|    1968|222| | 7|15 43 41.3|+31 33 42| | |     |     |     |       |
235.9217|+31.5542|    1969|222| | 8|15 43 41.2|+31 33 15| | |     |     |     |       |
235.9312|+31.5542|    1970|222| | 9|15 43 43.5|+31 33 15| | |     |     |     |       |
237.4525|+29.1761|    1971|223| | 1|15 49 48.6|+29 10 34| | |     |     |     |       |
237.4437|+29.1761|    1972|223| | 2|15 49 46.5|+29 10 34| | |     |     |     |       |
237.4492|+29.1686|    1973|223| | 3|15 49 47.8|+29 10 07| | |     |     |     |       |
237.4379|+29.1683|    1974|223| | 4|15 49 45.1|+29 10 06| | |     |     |     |       |
237.4504|+29.1714|    1975|223| | 5|15 49 48.1|+29 10 17| | |     |     |     |       |
237.4429|+29.1725|    1976|223| | 6|15 49 46.3|+29 10 21| | |     |     |     |       |
237.4254|+29.1731|    1977|223| | 7|15 49 42.1|+29 10 23| | |     |     |     |       |
237.3942|+29.1375|    1978|223| | 8|15 49 34.6|+29 08 15| | |     |     |     |       |
237.4012|+29.1461|    1979|223| | 9|15 49 36.3|+29 08 46| | |     |     |     |       |
237.4325|+29.1503|    1980|223| |10|15 49 43.8|+29 09 01| | |     |     |     |       |
237.4212|+29.1547|    1981|223| |11|15 49 41.1|+29 09 17| | |     |     |     |       |
237.4012|+29.1681|    1982|223| |12|15 49 36.3|+29 10 05| | |     |     |     |       |
237.4271|+29.1344|    1983|223| |13|15 49 42.5|+29 08 04| | |     |     |     |       |
237.4208|+29.1486|    1984|223| |14|15 49 41.0|+29 08 55| | |     |     |     |       |
238.3983|+29.5808|    1985|224| | 1|15 53 35.6|+29 34 51| | |     |     |     |       |
238.4200|+29.5708|    1986|224| | 2|15 53 40.8|+29 34 15| | |     |     |     |       |
238.4100|+29.5747|    1987|224| | 3|15 53 38.4|+29 34 29| | |     |     |     |       |
238.4083|+29.5903|    1988|224| | 4|15 53 38.0|+29 35 25| | |     |     |     |       |
238.3962|+29.5767|    1989|224| | 5|15 53 35.1|+29 34 36| | |     |     |     |       |
238.4075|+29.5858|    1990|224| | 6|15 53 37.8|+29 35 09| | |     |     |     |       |
238.4054|+29.5822|    1991|224| | 7|15 53 37.3|+29 34 56| | |     |     |     |       |
238.4183|+29.5744|    1992|224| | 8|15 53 40.4|+29 34 28| | |     |     |     |       |
358.7458|+31.5781|    1993|225| | 1|23 54 59.0|+31 34 41| | |     |     |     |       |
358.7508|+31.5761|    1994|225| | 2|23 55 00.2|+31 34 34| | |     |     |     |       |
358.7425|+31.5722|    1995|225| | 3|23 54 58.2|+31 34 20| | |     |     |     |       |
358.7621|+31.5722|    1996|225| | 4|23 55 02.9|+31 34 20| | |     |     |     |       |
358.7621|+31.5519|    1997|225| | 5|23 55 02.9|+31 33 07| | |     |     |     |       |
358.7467|+31.5619|    1998|225| | 6|23 54 59.2|+31 33 43| | |     |     |     |       |
358.7404|+31.5653|    1999|225| | 7|23 54 57.7|+31 33 55| | |     |     |     |       |
358.7704|+31.5783|    2000|225| | 8|23 55 04.9|+31 34 42| | |     |     |     |       |
007.9946|+35.1214|    2001|226| | 1|00 31 58.7|+35 07 17| | |     |     |     |       |
007.9933|+35.1236|    2002|226| | 2|00 31 58.4|+35 07 25| | |     |     |     |       |
007.9825|+35.1194|    2003|226| | 3|00 31 55.8|+35 07 10| | |     |     |     |       |
007.9867|+35.1231|    2004|226| | 4|00 31 56.8|+35 07 23| | |     |     |     |       |
007.9812|+35.1222|    2005|226| | 5|00 31 55.5|+35 07 20| | |     |     |     |       |
127.5671|+38.1894|    2006|227| | 1|08 30 16.1|+38 11 22| | |     |     |     |       |
127.5583|+38.1639|    2007|227| | 2|08 30 14.0|+38 09 50| | |     |     |     |       |
127.5508|+38.1900|    2008|227| | 3|08 30 12.2|+38 11 24| | |     |     |     |       |
127.5554|+38.1658|    2009|227| | 4|08 30 13.3|+38 09 57| | |     |     |     |       |
127.5438|+38.1822|    2010|227| | 5|08 30 10.5|+38 10 56| | |     |     |     |       |
132.4471|+38.2622|    2011|228| | 1|08 49 47.3|+38 15 44| | |     |     |     |       |
132.4425|+38.2942|    2012|228| | 2|08 49 46.2|+38 17 39| | |     |     |     |       |
132.4450|+38.2733|    2013|228| | 3|08 49 46.8|+38 16 24| | |     |     |     |       |
132.4537|+38.2844|    2014|228| | 4|08 49 48.9|+38 17 04| | |     |     |     |       |
132.4642|+38.2894|    2015|228| | 5|08 49 51.4|+38 17 22| | |     |     |     |       |
132.4700|+38.3064|    2016|228| | 6|08 49 52.8|+38 18 23| | |     |     |     |       |
132.4733|+38.2697|    2017|228| | 7|08 49 53.6|+38 16 11| | |     |     |     |       |
132.4904|+38.2983|    2018|228| | 8|08 49 57.7|+38 17 54| | |     |     |     |       |
132.4700|+38.2961|    2019|228| | 9|08 49 52.8|+38 17 46| | |     |     |     |       |
132.4600|+38.2936|    2020|228| |10|08 49 50.4|+38 17 37| | |     |     |     |       |
132.4471|+38.2608|    2021|228| |11|08 49 47.3|+38 15 39| | |     |     |     |       |
135.1900|+33.7506|    2022|229| | 1|09 00 45.6|+33 45 02| | |     |     |     |       |
135.1900|+33.7392|    2023|229| | 2|09 00 45.6|+33 44 21| | |     |     |     |       |
135.1854|+33.7556|    2024|229| | 3|09 00 44.5|+33 45 20| | |     |     |     |       |
135.1817|+33.7547|    2025|229| | 4|09 00 43.6|+33 45 17| | |     |     |     |       |
135.1679|+33.7608|    2026|229| | 5|09 00 40.3|+33 45 39| | |     |     |     |       |
135.1771|+33.7344|    2027|229| | 6|09 00 42.5|+33 44 04| | |     |     |     |       |
135.1821|+33.7575|    2028|229| | 7|09 00 43.7|+33 45 27| | |     |     |     |       |
147.9029|+32.1497|    2029|230| | 1|09 51 36.7|+32 08 59| | |     |     |     |       |
147.9050|+32.1464|    2030|230| | 2|09 51 37.2|+32 08 47| | |     |     |     |       |
147.8992|+32.1511|    2031|230| | 3|09 51 35.8|+32 09 04| | |     |     |     |       |
147.8867|+32.1519|    2032|230| | 4|09 51 32.8|+32 09 07| | |     |     |     |       |
147.9033|+32.1444|    2033|230| | 5|09 51 36.8|+32 08 40| | |     |     |     |       |
150.4275|+38.3144|    2034|231| | 1|10 01 42.6|+38 18 52| | |     |     |     |       |
150.4171|+38.3119|    2035|231| | 2|10 01 40.1|+38 18 43| | |     |     |     |       |
150.4383|+38.3031|    2036|231| | 3|10 01 45.2|+38 18 11| | |     |     |     |       |
150.4275|+38.3014|    2037|231| | 4|10 01 42.6|+38 18 05| | |     |     |     |       |
150.4412|+38.2989|    2038|231| | 5|10 01 45.9|+38 17 56| | |     |     |     |       |
150.4183|+38.3303|    2039|231| | 6|10 01 40.4|+38 19 49| | |     |     |     |       |
150.4250|+38.3169|    2040|231| | 7|10 01 42.0|+38 19 01| | |     |     |     |       |
150.4183|+38.3194|    2041|231| | 8|10 01 40.4|+38 19 10| | |     |     |     |       |
150.4096|+38.3200|    2042|231| | 9|10 01 38.3|+38 19 12| | |     |     |     |       |
150.4192|+38.3061|    2043|231| |10|10 01 40.6|+38 18 22| | |     |     |     |       |
157.4975|+37.8839|    2044|232| | 1|10 29 59.4|+37 53 02| | |     |     |     |       |
157.4796|+37.8833|    2045|232| | 2|10 29 55.1|+37 53 00| | |     |     |     |       |
157.5117|+37.8969|    2046|232| | 3|10 30 02.8|+37 53 49| | |     |     |     |       |
157.4625|+37.8792|    2047|232| | 4|10 29 51.0|+37 52 45| | |     |     |     |       |
157.4562|+37.8769|    2048|232| | 5|10 29 49.5|+37 52 37| | |     |     |     |       |
157.4912|+37.9072|    2049|232| | 6|10 29 57.9|+37 54 26| | |     |     |     |       |
157.5004|+37.9047|    2050|232| | 7|10 30 00.1|+37 54 17| | |     |     |     |       |
161.1421|+32.4356|    2051|233| | 1|10 44 34.1|+32 26 08| | |     |     |     |       |
161.1121|+32.4225|    2052|233| | 2|10 44 26.9|+32 25 21| | |     |     |     |       |
161.1321|+32.4336|    2053|233| | 3|10 44 31.7|+32 26 01| | |     |     |     |       |
161.1200|+32.4217|    2054|233| | 4|10 44 28.8|+32 25 18| | |     |     |     |       |
161.1346|+32.4356|    2055|233| | 5|10 44 32.3|+32 26 08| | |     |     |     |       |
161.1096|+32.4281|    2056|233| | 6|10 44 26.3|+32 25 41| | |     |     |     |       |
161.1096|+32.4319|    2057|233| | 7|10 44 26.3|+32 25 55| | |     |     |     |       |
161.1542|+32.4353|    2058|233| | 8|10 44 37.0|+32 26 07| | |     |     |     |       |
162.1113|+36.2519|    2059|234| | 1|10 48 26.7|+36 15 07| | |     |     |     |       |
162.1237|+36.2756|    2060|234| | 2|10 48 29.7|+36 16 32| | |     |     |     |       |
162.1104|+36.2522|    2061|234| | 3|10 48 26.5|+36 15 08| | |     |     |     |       |
162.1042|+36.2628|    2062|234| | 4|10 48 25.0|+36 15 46| | |     |     |     |       |
162.0858|+36.2753|    2063|234| | 5|10 48 20.6|+36 16 31| | |     |     |     |       |
162.1096|+36.2703|    2064|234| | 6|10 48 26.3|+36 16 13| | |     |     |     |       |
162.1204|+36.2653|    2065|234| | 7|10 48 28.9|+36 15 55| | |     |     |     |       |
162.1100|+36.2344|    2066|234| | 8|10 48 26.4|+36 14 04| | |     |     |     |       |
162.0787|+36.2808|    2067|234| | 9|10 48 18.9|+36 16 51| | |     |     |     |       |
162.1037|+36.2758|    2068|234| |10|10 48 24.9|+36 16 33| | |     |     |     |       |
162.1204|+36.2539|    2069|234| |11|10 48 28.9|+36 15 14| | |     |     |     |       |
164.1012|+32.2994|    2070|235| | 1|10 56 24.3|+32 17 58| | |     |     |     |       |
164.0783|+32.3017|    2071|235| | 2|10 56 18.8|+32 18 06| | |     |     |     |       |
164.0629|+32.2961|    2072|235| | 3|10 56 15.1|+32 17 46| | |     |     |     |       |
164.0879|+32.2964|    2073|235| | 4|10 56 21.1|+32 17 47| | |     |     |     |       |
164.0633|+32.3014|    2074|235| | 5|10 56 15.2|+32 18 05| | |     |     |     |       |
164.0692|+32.3069|    2075|235| | 6|10 56 16.6|+32 18 25| | |     |     |     |       |
164.0979|+32.2994|    2076|235| | 7|10 56 23.5|+32 17 58| | |     |     |     |       |
164.1046|+32.3008|    2077|235| | 8|10 56 25.1|+32 18 03| | |     |     |     |       |
165.4804|+38.2244|    2078|236| | 1|11 01 55.3|+38 13 28| | |     |     |     |       |
165.4817|+38.2094|    2079|236| | 2|11 01 55.6|+38 12 34| | |     |     |     |       |
165.4950|+38.2147|    2080|236| | 3|11 01 58.8|+38 12 53| | |     |     |     |       |
165.4754|+38.2122|    2081|236| | 4|11 01 54.1|+38 12 44| | |     |     |     |       |
165.5096|+38.2200|    2082|236| | 5|11 02 02.3|+38 13 12| | |     |     |     |       |
165.5325|+38.2086|    2083|236| | 6|11 02 07.8|+38 12 31| | |     |     |     |       |
165.5175|+38.2283|    2084|236| | 7|11 02 04.2|+38 13 42| | |     |     |     |       |
165.5412|+38.2467|    2085|236| | 8|11 02 09.9|+38 14 48| | |     |     |     |       |
166.3483|+38.0197|    2086|237| | 1|11 05 23.6|+38 01 11| | |15.50|     |     | 0.0301|= CGCG 184-054
166.3833|+38.0061|    2087|237| | 2|11 05 32.0|+38 00 22| | |     |     |     |       |
166.3904|+38.0086|    2088|237| | 3|11 05 33.7|+38 00 31| | |     |     |     |       |
166.3883|+37.9997|    2089|237| | 4|11 05 33.2|+37 59 59| | |     |     |     |       |
166.3679|+38.0144|    2090|237| | 5|11 05 28.3|+38 00 52| | |     |     |     |       |
166.3829|+38.0225|    2091|237| | 6|11 05 31.9|+38 01 21| | |     |     |     |       |
166.3450|+38.0233|    2092|237| | 7|11 05 22.8|+38 01 24| | |     |     |     |       |= [VPS88] 110236.76+38173
168.3321|+33.2331|    2093|238| | 1|11 13 19.7|+33 13 59| | |     |     |     |       |
168.3342|+33.2369|    2094|238| | 2|11 13 20.2|+33 14 13| | |     |     |     |       |
168.3287|+33.2369|    2095|238| | 3|11 13 18.9|+33 14 13| | |     |     |     |       |
168.3337|+33.2317|    2096|238| | 4|11 13 20.1|+33 13 54| | |     |     |     |       |
168.3308|+33.2289|    2097|238| | 5|11 13 19.4|+33 13 44| | |     |     |     |       |
168.3367|+33.2267|    2098|238| | 6|11 13 20.8|+33 13 36| | |     |     |     |       |
168.3342|+33.2347|    2099|238| | 7|11 13 20.2|+33 14 05| | |     |     |     |       |
173.7621|+37.2472|    2100|239| | 1|11 35 02.9|+37 14 50| | |     |     |     |       |
173.7567|+37.2450|    2101|239| | 2|11 35 01.6|+37 14 42| | |     |     |     |       |
173.7579|+37.2475|    2102|239| | 3|11 35 01.9|+37 14 51| | |     |     |     |       |
173.7558|+37.2436|    2103|239| | 4|11 35 01.4|+37 14 37| | |     |     |     |       |
173.7692|+37.2461|    2104|239| | 5|11 35 04.6|+37 14 46| | |     |     |     |       |
173.4183|+36.0764|    2105|240| | 1|11 33 40.4|+36 04 35| | |     |     |     |       |
173.3975|+36.0506|    2106|240| | 2|11 33 35.4|+36 03 02| | |     |     |     |       |
173.4129|+36.0722|    2107|240| | 3|11 33 39.1|+36 04 20| | |     |     |     |       |
173.4462|+36.0728|    2108|240| | 4|11 33 47.1|+36 04 22| | |     |     |     |       |
173.4462|+36.0794|    2109|240| | 5|11 33 47.1|+36 04 46| | |     |     |     |       |
173.3900|+36.0569|    2110|240| | 6|11 33 33.6|+36 03 25| | |     |     |     |       |
173.4071|+36.0542|    2111|240| | 7|11 33 37.7|+36 03 15| | |     |     |     |       |
178.3571|+32.9764|    2112|242| | 1|11 53 25.7|+32 58 35| | |     |     |     |       |
178.3804|+32.9672|    2113|242| | 2|11 53 31.3|+32 58 02| | |     |     |     |       |
178.3612|+32.9797|    2114|242| | 3|11 53 26.7|+32 58 47| | |     |     |     |       |
178.3579|+32.9889|    2115|242| | 4|11 53 25.9|+32 59 20| | |     |     |     |       |
178.3663|+32.9778|    2116|242| | 5|11 53 27.9|+32 58 40| | |     |     |     |       |
178.3471|+32.9914|    2117|242| | 6|11 53 23.3|+32 59 29| | |     |     |     |       |
178.3183|+32.9842|    2118|242| | 7|11 53 16.4|+32 59 03| | |     |     |     |       |
178.3004|+32.9750|    2119|242| | 8|11 53 12.1|+32 58 30| | |     |     |     |       |
178.3100|+32.9664|    2120|242| | 9|11 53 14.4|+32 57 59| | |     |     |     |       |
178.3604|+33.0133|    2121|242| |10|11 53 26.5|+33 00 48| | |     |     |     |       |
182.3612|+32.4069|    2122|243| | 1|12 09 26.7|+32 24 25| | |     |     |     |       |
182.3704|+32.4547|    2123|243| | 2|12 09 28.9|+32 27 17| | |     |     |     |       |
182.3612|+32.4322|    2124|243| | 3|12 09 26.7|+32 25 56| | |     |     |     |       |
182.4087|+32.4072|    2125|243| | 4|12 09 38.1|+32 24 26| | |     |     |     |       |
182.4162|+32.4064|    2126|243| | 5|12 09 39.9|+32 24 23| | |     |     |     |       |
182.4171|+32.3997|    2127|243| | 6|12 09 40.1|+32 23 59| | |     |     |     |       |
182.3867|+32.4086|    2128|243| | 7|12 09 32.8|+32 24 31| | |     |     |     |       |
182.4033|+32.4114|    2129|243| | 8|12 09 36.8|+32 24 41| | |     |     |     |       |
182.4346|+32.3992|    2130|243| | 9|12 09 44.3|+32 23 57| | |     |     |     |       |
182.3929|+32.4233|    2131|243| |10|12 09 34.3|+32 25 24| | |     |     |     |       |
184.2971|+35.2864|    2132|244| | 1|12 17 11.3|+35 17 11| | |     |     |     |       |
184.2712|+35.3031|    2133|244| | 2|12 17 05.1|+35 18 11| | |     |     |     |       |
184.2867|+35.2756|    2134|244| | 3|12 17 08.8|+35 16 32| | |     |     |     |       |
184.2925|+35.3000|    2135|244| | 4|12 17 10.2|+35 18 00| | |     |     |     |       |
184.2925|+35.2936|    2136|244| | 5|12 17 10.2|+35 17 37| | |     |     |     |       |
184.3004|+35.3142|    2137|244| | 6|12 17 12.1|+35 18 51| | |     |     |     |       |
184.3112|+35.3197|    2138|244| | 7|12 17 14.7|+35 19 11| | |     |     |     |       |
184.2775|+35.2756|    2139|244| | 8|12 17 06.6|+35 16 32| | |     |     |     |       |
184.2646|+35.2786|    2140|244| | 9|12 17 03.5|+35 16 43| | |     |     |     |       |
184.2700|+35.3025|    2141|244| |10|12 17 04.8|+35 18 09| | |     |     |     |       |
186.2062|+31.9461|    2142|245| | 1|12 24 49.5|+31 56 46|H| |     |     |     |       |
186.1892|+31.9469|    2143|245| | 2|12 24 45.4|+31 56 49|H| |     |     |     |       |
186.2029|+31.9461|    2144|245| | 3|12 24 48.7|+31 56 46|H| |     |     |     |       |
186.2246|+31.9750|    2145|245| | 4|12 24 53.9|+31 58 30|H| |     |     |     |       |
186.2137|+31.9586|    2146|245| | 5|12 24 51.3|+31 57 31|H| |     |     |     |       |
186.1517|+31.9700|    2147|245| | 6|12 24 36.4|+31 58 12|H| |     |     |     |       |
186.1567|+31.9450|    2148|245| | 7|12 24 37.6|+31 56 42|H| |     |     |     |       |
186.1817|+31.9506|    2149|245| | 8|12 24 43.6|+31 57 02|H| |     |     |     |       |
189.6046|+32.2053|    2150|246| | 1|12 38 25.1|+32 12 19| | |     |     |     |       |
189.5863|+32.2169|    2151|246| | 2|12 38 20.7|+32 13 01| | |     |     |     |       |
189.5796|+32.2186|    2152|246| | 3|12 38 19.1|+32 13 07| | |     |     |     |       |
189.5979|+32.2197|    2153|246| | 4|12 38 23.5|+32 13 11| | |     |     |     |       |
189.6029|+32.2175|    2154|246| | 5|12 38 24.7|+32 13 03| | |     |     |     |       |
189.5946|+32.2131|    2155|246| | 6|12 38 22.7|+32 12 47| | |     |     |     |       |
190.8158|+35.8867|    2156|247| | 1|12 43 15.8|+35 53 12| | |     |     |     |       |
190.7992|+35.8961|    2157|247| | 2|12 43 11.8|+35 53 46| | |     |     |     |       |
190.8067|+35.8886|    2158|247| | 3|12 43 13.6|+35 53 19| | |19.00|     |     |       |= NGP9 F268-0821180
190.7958|+35.8806|    2159|247| | 4|12 43 11.0|+35 52 50| | |19.80|     |     |       |= NGP9 F268-0821089
190.8125|+35.8825|    2160|247| | 5|12 43 15.0|+35 52 57| | |19.40|     |     |       |= NGP9 F268-0821213
198.0771|+36.1900|    2161|248| | 1|13 12 18.5|+36 11 24| | |     |     |     |       |
198.0800|+36.1975|    2162|248| | 2|13 12 19.2|+36 11 51| | |     |     |     |       |
198.0671|+36.1933|    2163|248| | 3|13 12 16.1|+36 11 36| | |     |     |     |       |
198.0650|+36.1867|    2164|248| | 4|13 12 15.6|+36 11 12| | |19.29|     |     |       |= NGP9 F269-0667492 = IRAS F13099+3626
198.0717|+36.1853|    2165|248| | 5|13 12 17.2|+36 11 07| | |     |     |     |       |
198.0721|+36.1947|    2166|248| | 6|13 12 17.3|+36 11 41| | |     |     |     |       |
198.0662|+36.1758|    2167|248| | 7|13 12 15.9|+36 10 33| | |     |     |     |       |
198.0671|+36.1847|    2168|248| | 8|13 12 16.1|+36 11 05| | |     |     |     |       |
198.0758|+36.1858|    2169|248| | 9|13 12 18.2|+36 11 09| | |     |     |     |       |
198.0412|+36.1878|    2170|248| |10|13 12 09.9|+36 11 16| | |19.47|     |     |       |= NGP9 F269-0667318
203.0213|+35.2164|    2171|249| | 1|13 32 05.1|+35 12 59| | |     |     |     |       |
202.9742|+35.1950|    2172|249| | 2|13 31 53.8|+35 11 42| | |     |     |     |       |
202.9671|+35.2006|    2173|249| | 3|13 31 52.1|+35 12 02| | |     |     |     |       |
203.0083|+35.2078|    2174|249| | 4|13 32 02.0|+35 12 28| | |     |     |     |       |
203.0158|+35.1964|    2175|249| | 5|13 32 03.8|+35 11 47| | |     |     |     |       |
202.9904|+35.1981|    2176|249| | 6|13 31 57.7|+35 11 53| | |     |     |     |       |
203.0550|+35.2144|    2177|249| | 7|13 32 13.2|+35 12 52| | |     |     |     |       |
203.0433|+35.2031|    2178|249| | 8|13 32 10.4|+35 12 11| | |     |     |     |       |
203.0358|+35.2014|    2179|249| | 9|13 32 08.6|+35 12 05| | |     |     |     |       |
203.0583|+35.2200|    2180|249| |10|13 32 14.0|+35 13 12| | |     |     |     |       |
203.7104|+33.1375|    2181|250| | 1|13 34 50.5|+33 08 15| | |     |     |     |       |
